Sr_No,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,Location,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Website,Specialties,Facilities,Establised_Year,Emergency_Services,latitude,longitude,total_beds,position_group
107,Nirmala Hospitals,,,,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati","18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
108,Om Children Surgical Superspeciality Centre,,,,"10-13-486, Reddy and Reddy Colony, Tirupati","10-13-486, Reddy and Reddy Colony, Chittor, Tirupati,",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6361446,79.4204532,,"13.636, 79.42"
109,Prameela Hospital,,,,10 - 3 - 206 Kotakommala Street Tirupati,10 - 3 - 206 Kotakommala Street Tirupati,Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
110,Prashanth Hospital,,,,"#: 410, Tilak Road Tilak Road Tirupati",": 410, Tilak Road Tilak Road Tirupati 517501  Chittoor",Andhra Pradesh,Chittoor,,517501,"0877    22454333, 2252466,",,,,,,,,,13.6338436,79.4210045,,"13.634, 79.421"
111,Purna's Remedy Hospital - Tirupathi,,,,"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupati","6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupathi",Andhra Pradesh,Chittoor,,517501,3253250,,,,,,,,,,,,
112,Raghavendra Urological Super Speciality Hospital (Russh Hospital),,,,"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati","10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati 517501  Chittoor",Andhra Pradesh,Chittoor,,517501,"0877    2220487, 2227385, 2224725",,,,,,,,,13.6244611,79.4310052,,"13.624, 79.431"
113,Rama Nursing Home,,,,"535, Reddy and Reddy Colony , Tirupati","535, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6361446,79.4204532,,"13.636, 79.42"
114,Ramadevi Multi Super Speciality Hospital,,,,"16-2-156, Sairam Street, Tirupathi","16-2-156, Sairam Street, Tirupathi, Chitoor Dst., Andhrapradesh",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,,,,
115,Ramya Hospital,,,,"-4-566, Nehru Nagar, Tirupathi, Chittoor","-4-566, Nehru Nagar, Tirupathi, Chittoor",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6365271,79.4127143,,"13.637, 79.413"
116,Ravi Neuro and Emergency Hospital - Chittoor,,,,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati","576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Andhra Pradesh,Chittoor,,517501,2222369,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
117,Sakthi Medicals,,,,"548, Reddy and Reddy Colony,Tirupati","548, Reddy and Reddy Colony,Tirupati-517501",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6361446,79.4204532,,"13.636, 79.42"
118,Shyamala Nursing Home,,,,"101, Sarojinideavi Road, Tirupati","101, Sarojinideavi Road, Tirupati",Andhra Pradesh,Chittoor,,517501,2286522,,,,,,,,,13.6368739,79.4144319,,"13.637, 79.414"
119,Sree Emergency and Crticial Care Hospital,,,,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati","D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6157076,79.4125828,,"13.616, 79.413"
120,Sri Chakra Hospitals,,,,"10-13-496, , Reddy and Reddy Colony, Tirupati","10-13-496, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6361446,79.4204532,,"13.636, 79.42"
121,Sri Padmavathi Multi Speciality Hospital,,,,"6-1-46, R.S.Gardens Tirupati","6-1-46, R.S.Gardens Tirupathi",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,23.0866456,72.5630236,,"23.087, 72.563"
122,Sri Ramadevi Multi Super Speciality Hospital,,,,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati 517501  Chittoor,Andhra Pradesh,Chittoor,,517501,"0877    2287437, 2287156,",,,,,,,,,13.6388217,79.4204627,,"13.639, 79.42"
123,Sri Sai Ortho Care,,,,"6-2-105, Old Maternity Road, Beside Rajanna Park","6-2-105, Old Maternity Road, Beside Rajanna Park",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,,,,
124,Sri Sai Sudha Hospitals,,,,"521, Reddy and Reddy Colony, Chittor, Tirupati","521, Reddy and Reddy Colony, Chittor, Tirupati,",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6361446,79.4204532,,"13.636, 79.42"
125,Sri Suraksha Hospital,,,,Tirupati,Tirupathi,Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
126,Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,,,,No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple,"No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, Chittoor",Andhra Pradesh,Chittoor,,517501,2253322,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
127,Sri Venkateshwara Institute Of Medical Sciences,,,,Tirupati,Tirupati,Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
128,Sri Venkateswara Hospitals,,,,"No. 20-03-88G, Siva Jyothi Nagar","No. 20-03-88G, Siva Jyothi Nagar,",Andhra Pradesh,Chittoor,,517501,0877 2281111,,,,,,,,,26.896961,75.792554,,"26.897, 75.793"
129,Sri Vignesh Hospital,,,,"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street","10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,,,,
130,Srinivasa Super Speciality Hospital,,,,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati","216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
131,Suguna Nursing Home,,,,"515,Reddy Reddy Colony, Tirupati","515,Reddy Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6361446,79.4204532,,"13.636, 79.42"
132,Sviss Hospital,,,,"326,Nethaji Road,Tirupati","326,Nethaji Road,Tirupathi",Andhra Pradesh,Chittoor,,517501,6668633,,,,,,,,,13.6095995,79.4489169,,"13.61, 79.449"
133,Swaranamrutha Hospital,,,,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati","6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Andhra Pradesh,Chittoor,,517501,2286602,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
134,Swarnamrutha Hospital,,,,"Opp Bhavani Nagar Circle, Maternity Road","Opp Bhavani Nagar Circle, Maternity Road",Andhra Pradesh,Chittoor,,517501,0877  2286602,,,,,,,,,,,,
135,Swetha Childrens Hospital,,,,"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar , 2Nd Street","Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar, 2Nd Street",Andhra Pradesh,Chittoor,,517501,2222228,,,,,,,,,,,,
136,Triveni Child Care Hospital,,,,"525,Reddy  and Reddy Colony,Tirupathi","525,Reddy  and Reddy Colony,Tirupathi-",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6361446,79.4204532,,"13.636, 79.42"
137,Vaishnavi Children Hospital,,,,"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati","575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati. []",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,,,,
138,Vasan Healthcare Pvt Ltd,,,,"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar","Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar",Andhra Pradesh,Chittoor,,517501,0877  2220552,,,,,,,,,,,,
139,Venkataramana Heart And Maternity Hospital,,,,"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati","10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati 517501  Chittoor",Andhra Pradesh,Chittoor,,517501,0877    2258183,,,,,,,,,13.6358027,79.420805,,"13.636, 79.421"
140,Vision Care Clinic,,,,"6-2-88, Old Maternity Hospital Road, Tirupati","6-2-88, Old Maternity Hospital Road, Tirupati",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.639101,79.4177213,,"13.639, 79.418"
141,Elite Hospital,,,,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony","D. No.10-14-576/6, New No.28, Reddy And Reddy Colony,",Andhra Pradesh,Chittoor,,517502,0877  2251000,,,,,,,,,13.6335087,79.4170539,,"13.634, 79.417"
142,Maha Hospitals,,,,13-7-936/6 Tuda Road,13-7-936/6 Tuda Road,Andhra Pradesh,Chittoor,,517502,0877  2266601,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
143,Vennela Super Speciality Eye and Dental Hospital,,,,"502,B, 1St Floor, Opp Sbi Kt Road","502,B, 1St Floor, Opp Sbi Kt Road",Andhra Pradesh,Chittoor,,517502,2228266,,,,,,,,,28.6779455,77.3103012,,"28.678, 77.31"
144,Radha Narayan Hospital For Women And Children,,,,"19-4-395, Bairagipatteda North, Tirupati","19-4-395, Bairagipatteda North, Tirupathi",Andhra Pradesh,Chittoor,,517505,240522/41031,,,,,,,,,,,,
145,Manasa Kidney Foundation,,,,"K. T. Road, Tirupati","K. T. Road, Tirupati",Andhra Pradesh,Chittoor,,517507,,,,,,,,,,13.6452591,79.419089,,"13.645, 79.419"
146,Rushh Hospital,,,,"V.V.Mahal Road, Tirupathi","V.V.Mahal Road, Tirupathi",Andhra Pradesh,Chittoor,,517507,22227385,,,,,,,,,13.6370231,79.4206271,,"13.637, 79.421"
147,S V Poly Clinic,,,,"140, T.Nagar OppositeBhavani Nagar Anjaneyaswamy Temple","140, T.Nagar OppositeBhavani Nagar Anjaneyaswamy Temple",Andhra Pradesh,Chittoor,,517507,"2286077,2287675  0",,,,,,,,,,,,
148,Sneha Super Speciality Hospital,,,,"Sarojini Devi Layout, Rupa Hospital Road, Tirupati","Sarojini Devi Layout, Rupa Hospital Road, Tripati",Andhra Pradesh,Chittoor,,517507,,,,,,,,,,,,,
149,Swarna E.N.T Super Speciality Hosptial,,,,"6-1-12A, Beside Old Maternity Hospital, Tirupati","6-1-12A, Beside Old Maternity Hospital, Tirupati",Andhra Pradesh,Chittoor,,517507,,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
150,Swarnamurtha Hospital,,,,"91,Old M.H.Road,1/1,Tirupathi","91,Old M.H.Road,1/1,Tirupathi,Chittoor",Andhra Pradesh,Chittoor,,517507,,,,,,,,,,13.633255,79.4552064,,"13.633, 79.455"
151,Sri Sai Nursing Home,,,,"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur","3/260, Kabu Street,Upstairs Of Bank Of India, Puttur,",Andhra Pradesh,Chittoor,,517583,222765,,,,,,,,,12.7686756,75.2070644,,"12.769, 75.207"
152,C.S.I. Hospital,,,,Nagari-517590,"Nagari-517590, Chittoor",Andhra Pradesh,Chittoor,,517590,,,,,,,,,,13.3200519,79.585628,,"13.32, 79.586"
153,Annapurna Hospital ( Ramarao Hospital),,,,"# 6/420, Babu Agraharam,Babu Agraharam","6/420, Babu Agraharam,Babu Agraharam.",Andhra Pradesh,Chittoor,,517644,,,,,,,,,,,,,
154,Chaitanya Childrens Hospital,,,,"Door No-7/370, Nagarchipalem, Srikalahasti","Door No-7/370, Nagarchipalem, Srikalahasti-517644",Andhra Pradesh,Chittoor,,517644,,,,,,,,,,13.7392101,79.7119419,,"13.739, 79.712"
155,Eswari Nursing Home,,,,"# 7-723,Kothapet","7-723,,Kothapet.",Andhra Pradesh,Chittoor,,517644,,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
156,Sai Kanthi Eye Hospital,,,,Kothapet,",Kothapet.",Andhra Pradesh,Chittoor,,517644,,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
157,Vani Priya Hospital,,,,"V R Temple Street, Nehru Road","V R Temple Street, Nehru Road,",Andhra Pradesh,Chittoor,,517644,,,,,,,,,,22.5657131,88.3557301,,"22.566, 88.356"
158,Abhishek Kidney and General Hospital ( Kcm Hospital),,,,"3/224, Upendra Complex, Christian Lane","3/224, Upendra Complex, Christian Lane",Andhra Pradesh,Y.S.R.,Kadapa,516001,08562  250762  0,,,,,,,,,,,,
159,Ashwini Childrens Hospital,,,,"4/460, Nagarajupet, Near Dr. Thulasamma Hospital","4/460, Nagarajupet, Near Dr. Thulasamma Hospital, Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516001,251699,,,,,,,,,,,,
160,Balaji Nursing Home,,,,"6/1565, Sankara Puram","6/1565, Sankara Puram Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516001,08562  247843,,,,,,,,,14.480391,78.8340173,,"14.48, 78.834"
161,Bharathi Hospital,,,,"1/82,R.S.Road, Y.M.Pally, Kadapa,Gandhi Nagar, Yerramulekapally","1/82,R.S.Road, Y.M.Pally, Kadapa,Gandhi Nagar, Yerramulekapally,Kadapa.",Andhra Pradesh,Y.S.R.,Kadapa,516001,,,,,,,,,,,,,
162,G. S. R. Heart Care Centre - Cuddapah,,,,Opposite Old Municipal Office,Opposite Old Municipal Office,Andhra Pradesh,Y.S.R.,Kadapa,516001,249478,,,,,,,,,,,,
163,Jyothi Nursing Home,,,,3/374 Railway Station Road Railway Station Road,3/374 Railway Station Road Railway Station Road Kadapa 516001  Kadapa,Andhra Pradesh,Y.S.R.,Kadapa,516001,08251    246975,,,,,,,,,17.6651796,75.8970483,,"17.665, 75.897"
164,K.C.M. Hospital,,,,"#3/224, Upendra Complex","3/224, Upendra Complex,",Andhra Pradesh,Y.S.R.,Kadapa,516001,242929,,,,,,,,,19.0266349,72.8594614,,"19.027, 72.859"
165,Likhith Laparoscopic Centre,,,,"2/402, R.S Road, Opposite Csi Church","2/402, R.S Road, Opposite Csi Church, Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516001,,,,,,,,,,,,,
166,Palla Krishnaiah Memorial And Nursing Home,,,,21/188 and 21/187 Christian Lane,21/188 and 21/187 Christian Lane Kadapa Kadapa 516001  Kadapa,Andhra Pradesh,Y.S.R.,Kadapa,516001,08562    246088,,,,,,,,,14.4701485,78.8297701,,"14.47, 78.83"
167,Pasupuleti Nursing Home,,,,"#4-370, Infront Of H P Gas Koti Reddy Street , Nagarajupeta","4-370, Infront Of H P Gas Koti Reddy Street, Nagarajupeta",Andhra Pradesh,Y.S.R.,Kadapa,516001,,,,,,,,,,,,,
168,Priyatham Clinic,,,,"Opp:Municipal Water Tank, Near Old Govt Hospital","Opp:Municipal Water Tank, Near Old Govt Hospital, Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516001,,,,,,,,,,,,,
169,Sita Lakshmi Nursing Home,,,,"21/628, Salt Felt Road","21/628, Salt Felt Road, Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516001,,,,,,,,,,,,,
170,Siva Yogi Childrens Hospital,,,,"Beside Sri Rama Temple, Nagaraju Pet","Beside Sri Rama Temple, Nagaraju Pet",Andhra Pradesh,Y.S.R.,Kadapa,516001,221729,,,,,,,,,,,,
171,Sri Krishna Sahithi Eye Hospital,,,,3/137 Christian Lane Christian Lane,3/137 Christian Lane Christian Lane Kadapa 516001  Kadapa,Andhra Pradesh,Y.S.R.,Kadapa,516001,08562    252844,,,,,,,,,14.4701485,78.8297701,,"14.47, 78.83"
172,Srija Rainbow Childrens Hospital,,,,Madras Road,"Madras Road, Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516001,,,,,,,,,,14.4783864,78.8252721,,"14.478, 78.825"
173,Srinivasa Nursing Home,,,,"7/304, Holmbspet, Produttur (P.O.)","7/304, Holmbspet, Produttur (P.O.), . Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516001,,,,,,,,,,,,,
174,Tata Reddy Ramalinga Reddy Nursing Home,,,,"17/48, Kapu Street, Jammalamadugu","17/48, Kapu Street, Jammalamadugu",Andhra Pradesh,Y.S.R.,Kadapa,516001,08560  271166,,,,,,,,,14.686981,78.3909238,,"14.687, 78.391"
175,Thulasamma Hospital,,,,"4/110, Nagarajupet, Near Womens College","4/110, Nagarajupet, Near Womens College",Andhra Pradesh,Y.S.R.,Kadapa,516001,,,,,,,,,,,,,
176,Tirumala Hospitals,,,,"21/16, R.S.Road,Guntha Bazar, Near 7 Roads,OppositeNear Sri Devi Scan Centre","21/16, R.S.Road,Guntha Bazar, Near 7 Roads,OppositeNear Sri Devi Scan Centre.",Andhra Pradesh,Y.S.R.,Kadapa,516001,,,,,,,,,,,,,
177,Vijaya Nursing Home,,,,Prodatoor,Prodatoor,Andhra Pradesh,Y.S.R.,Kadapa,516001,"253686, 252686",,,,,,,,,,,,
178,Vurimi Savitramma Cardiac Centre,,,,# 3/225 Upendra Complex Christian Lane,3/225 Upendra Complex Christian Lane Kadapa 516001  Kadapa,Andhra Pradesh,Y.S.R.,Kadapa,516001,08562    252929,,,,,,,,,14.4701485,78.8297701,,"14.47, 78.83"
179,Deepa Nursing Home,,,,2/1115-1 Nehrunagar,2/1115-1 Nehrunagar,Andhra Pradesh,Y.S.R.,Kadapa,516002,08562  245045  0,,,,,,,,,,,,
180,Dr G R K R Multi Speciality Hospitals,,,,"6/1414, Sankarapuram","6/1414, Sankarapuram",Andhra Pradesh,Y.S.R.,Kadapa,516002,08562  224953,,,,,,,,,14.480391,78.8340173,,"14.48, 78.834"
181,Jyothi Nursing Home,,,,"Near Petrol Bunk, R. S. Road","Near Petrol Bunk, R. S. Road, Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516002,08562  246975,,,,,,,,,,,,
182,Remedy Hospital,,,,"D.No.3/221,Christian Lane,Near 7 Roads","D.No.3/221,Christian Lane,Near 7 Roads.",Andhra Pradesh,Y.S.R.,Kadapa,516002,,,,,,,,,,,,,
183,Sri Satya Sai Hospital,,,,"6-880, Madras Road Sankarapuram","6-880, Madras Road Sankarapuram",Andhra Pradesh,Y.S.R.,Kadapa,516002,08562  242729/274972  0,,,,,,,,,13.0311046,80.2720822,,"13.031, 80.272"
184,Himalaya Multi Speciality Hospital,,,,"D.No 1- 81/1, Teja Enclave, R.S.Road, Yerra Mukkapalli","D.No 1- 81/1, Teja Enclave, R.S.Road, Yerra Mukkapalli Kadapa Dt.- 516004",Andhra Pradesh,Y.S.R.,Kadapa,516004,"08562  256100,256256",,,,,,,,,,,,
185,Usha Rani Nursing Home,,,,"1/706 - 3, Dwarakanagar","1/706 - 3, Dwarakanagar",Andhra Pradesh,Y.S.R.,Kadapa,516004,08562  245098,,,,,,,,,17.7266953,83.3054733,,"17.727, 83.305"
186,Vishnu Nursing Home,,,,10/596 M. G. Road Rly. Kodur,"10/596 M. G. Road Rly. Kodur, Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516101,,,,,,,,,,13.9518505,79.3492863,,"13.952, 79.349"
187,Sree Durgaa Nursing Home,,,,Nagulamanu Street Rajampet Rajampet,Nagulamanu Street Rajampet Rajampet 516115  Kadapa,Andhra Pradesh,Y.S.R.,Kadapa,516115,08565    241024,,,,,,,,,14.1965314,79.1563718,,"14.197, 79.156"
188,Sri Sai Nursing Home,,,,"6/133, R S Road Rajampet Rajampet","6/133, R S Road Rajampet Rajampet 516115 : Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516115,"08565    250636, 250470",,,,,,,,,14.2050808,79.1549173,,"14.205, 79.155"
189,Our Lady Of Fatima Hospital,,,,Porumamilla,Porumamilla,Andhra Pradesh,Y.S.R.,Kadapa,516193,285244,,,,,,,,,,,,
190,Madhavi Nursing Home,,,,"Harinatha Street, Rayachoty","Harinatha Street, Rayachoty,  Kadapa.",Andhra Pradesh,Y.S.R.,Kadapa,516269,256466,,,,,,,,,14.0585458,78.7518863,,"14.059, 78.752"
191,Raviteja Nursing Home,,,,Rayachoti,Rayachoti,Andhra Pradesh,Y.S.R.,Kadapa,516269,251310,,,,,,,,,,,,
192,Abhilash Netra Vidyasala,,,,"3/1350, Gandhi Road Opp: Iswarya Complex Proddatur","3/1350, Gandhi Road Opp: Iswarya Complex Proddatur 516360  Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516360,08564    254157,,,,,,,,,14.7491864,78.5531577,,"14.749, 78.553"
193,B. G. R. Hospital,,,,"Gandhi Road, Proddatur (P.O.)","Gandhi Road, Proddatur (P.O.), . Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516360,243717,,,,,,,,,14.7500333,78.5478809,,"14.75, 78.548"
194,Bhavya Nursing Home,,,,"Near Gabdhi Statue, Gandhi Road, Proddatur","Near Gabdhi Statue, Gandhi Road, Proddatur",Andhra Pradesh,Y.S.R.,Kadapa,516360,245533,,,,,,,,,14.7500333,78.5478809,,"14.75, 78.548"
195,Cnr Nursing Home,,,,Gandhi Road Proddutur Proddatur 516360  Kadapa,Gandhi Road Proddutur Proddatur 516360  Kadapa,Andhra Pradesh,Y.S.R.,Kadapa,516360,08564    251559,,,,,,,,,14.7491864,78.5531577,,"14.749, 78.553"
196,Dr. S. V. R. Hospital,,,,"3/1471, Opposite Super Bazar Road, Gandhi Road","3/1471, Opposite Super Bazar Road, Gandhi Road",Andhra Pradesh,Y.S.R.,Kadapa,516360,243377,,,,,,,,,,,,
197,Jaya Vishnu Nursing Home,,,,"5/1888, Geetha Ashramam Road","5/1888, Geetha Ashramam Road,  Kaddapa",Andhra Pradesh,Y.S.R.,Kadapa,516360,,,,,,,,,,,,,
198,Kalyana Chakravarthy Hospitals - Proddatur,,,,"3 / 1467 , Holmespet , Proddatur","3 / 1467, Holmespet Proddatur",Andhra Pradesh,Y.S.R.,Kadapa,516360,,,,,,,,,,14.7528736,78.5514834,,"14.753, 78.551"
199,Kathya Nursing Home,,,,"8/399, Swayam Sevak Road, Proddatur","8/399, Swayam Sevak Road, Proddatur",Andhra Pradesh,Y.S.R.,Kadapa,516360,251336,,,,,,,,,14.7512835,78.5497493,,"14.751, 78.55"
200,Lakshmi Kishore Hospital,,,,"No. 5/1895, Gandhi Road,Geetha Ashram Street","No. 5/1895, Gandhi Road,Geetha Ashram Street,",Andhra Pradesh,Y.S.R.,Kadapa,516360,08564 251904,,,,,,,,,26.1781993,91.773379,,"26.178, 91.773"
201,Latha Mutispeciality Hospital - Proddatur,,,,"3 - 146 Holmespeta, Proddatur rict","3 - 146 Holmespeta, Proddatur rict - Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516360,251874,,,,,,,,,,,,
202,Orthopaedic And Maternity Hospital,,,,"Dr.Ramalinga Reddy Hospital Campus, Holmeset, Proddatur","Dr.Ramalinga Reddy Hospital Campus, Holmeset, Proddatur",Andhra Pradesh,Y.S.R.,Kadapa,516360,,,,,,,,,,14.7491864,78.5531577,,"14.749, 78.553"
203,Prasad Nursing Home,,,,Sreeramulapeta,Sreeramulapeta,Andhra Pradesh,Y.S.R.,Kadapa,516360,08564  251030 / 252040,,,,,,,,,,,,
204,Shree Veja Nursing Home,,,,"8/700, OppositePosina Compound, Gandhi Road,Proddatur","8/700, OppositePosina Compound, Gandhi Road,Proddatur",Andhra Pradesh,Y.S.R.,Kadapa,516360,08564  258074,,,,,,,,,14.7500333,78.5478809,,"14.75, 78.548"
205,Siva Nursing Home,,,,"4/626,Gandhi Road,Proddatur","4/626,Gandhi Road,Proddatur",Andhra Pradesh,Y.S.R.,Kadapa,516360,51075,,,,,,,,,14.7500333,78.5478809,,"14.75, 78.548"
206,Sree Veja Nursing Home,,,,"8/699, Gandhi Road","8/699, Gandhi Road,",Andhra Pradesh,Y.S.R.,Kadapa,516360,08564 258074,,,,,,,,,,,,
207,Sri Sai Hospitals,,,,"3/1396, Homes Pet, Proddatur, Near Gandhi Statue,Proddatru Municipality","3/1396, Homes Pet, Proddatur, Near Gandhi Statue,Proddatru Municipality,",Andhra Pradesh,Y.S.R.,Kadapa,516360,08564  250480,,,,,,,,,,,,
208,Sri Swarna Hospital,,,,"3/1470, Opposite Care Diagnostics Centre, Gandhi Road, Proddatur (P.O.)","3/1470, Opposite Care Diagnostics Centre, Gandhi Road, Proddatur (P.O.), . Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516360,250747,,,,,,,,,,,,
209,Swarup Eye Hospital and Laser Center,,,,T. B. Road,"T. B. Road, t. Kaddapa",Andhra Pradesh,Y.S.R.,Kadapa,516360,,,,,,,,,,14.7600159,78.5393058,,"14.76, 78.539"
210,Vaatsalya Hospital,,,,Nagadastagiri Healthcare Comples 3/1467 Holmespet Proddatur,Nagadastagiri Healthcare Comples 3/1467 Holmespet Proddatur 516360  Kadapa,Andhra Pradesh,Y.S.R.,Kadapa,516360,08564    251650,,,,,,,,,14.7491864,78.5531577,,"14.749, 78.553"
211,Vijaya Eye Hospital,,,,"Dr S Vijaya M S, Vijaya Eye Hospital, 4/624, Gandhi Road, Proddatur","Dr S Vijaya M S, Vijaya Eye Hospital, 4/624, Gandhi Road, Proddatur",Andhra Pradesh,Y.S.R.,Kadapa,516360,,9247640096,,,,,,,,14.7500333,78.5478809,,"14.75, 78.548"
212,Dinesh Medical Centre,,,,"Balarapuram, Pulivendula","Balarapuram, Pulivendula 516390  Ysr",Andhra Pradesh,Y.S.R.,Kadapa,516390,08568    286189,,,,,,,,,,,,
213,Nikhil Nursing Home,,,,Holmespet Proddatur,Holmespet Proddatur Kadapa,Andhra Pradesh,Y.S.R.,Kadapa,516434,,,,,,,,,,14.7528736,78.5514834,,"14.753, 78.551"
214,Sree Tati Reddy Ramalinga Reddy Nursing Home,,,,"17-48, Kapu Street, Jammalamadugu","17-48, Kapu Street, Jammalamadugu Kadapa Andra Pradesh",Andhra Pradesh,Y.S.R.,Kadapa,516434,,,,,,,,,,14.686981,78.3909238,,"14.687, 78.391"
215,Sri Thati Reddy Ramalinga Reddy Nursing Home,,,,"17/48, Kapu Street Jammalamadugu","17/48, Kapu Street Jammalamadugu Kadapa 516434 : Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516434,08560    270551,,,,,,,,,14.6857186,78.3909785,,"14.686, 78.391"
216,Venkata Sai Baradwaja Hospital,,,,"M D O Office Road, Jammalamadugu","M D O Office Road, Jammalamadugu,Kadapa",Andhra Pradesh,Y.S.R.,Kadapa,516434,,,,,,,,,,14.8474197,78.3899108,,"14.847, 78.39"
